domain,n_posts,total_engagement,median_engagement
wjccschools.org,798,12080,3.0
www.terrellisd.org,798,42685,32.0
www.sfdr-cisd.org,798,36572,22.5
www.ttsdschools.org,798,5745,3.0
www.gpisd.org,798,39162,25.0
www.ugisd.org,798,35437,36.0
www.shawnee.k12.ok.us,798,58979,71.5
www.frsd.k12.nj.us,798,11002,7.0
www.henricoschools.us,798,78808,42.0
www.tulsaschools.org,798,10779,6.0
www.sundownisd.com,798,10773,6.0
www.aldineisd.org,798,84663,55.5
www.westwoodisd.net,798,10411,7.0
www.mychesterfieldschools.com,798,60842,29.0
www.hampton.k12.va.us,798,43383,24.0
www.idabelps.org,798,9661,8.0
www.lunenburgcountyschools.org,798,9579,6.0
www.killeenisd.org,798,75104,40.5
www.austinisd.org,798,46699,17.0
www.worthamisd.org,798,9315,6.0
www.sheldonisd.com,798,55268,40.0
www.hcde.org,798,56401,40.5
www.psjaisd.us,798,71641,54.5
www.uisd.net,798,56400,32.0
www.lcdoe.org,798,22808,14.0
www.crawford-isd.net,798,25998,15.0
www.colonialsd.org,798,51546,45.0
www.fortleboeuf.net,798,35340,18.0
www.carthageisd.org,798,23783,15.0
boe.ohio.k12.wv.us,798,55407,44.0
www.clairton.k12.pa.us,798,7547,7.0
www.lyfordcisd.net,798,7491,3.0
www.mwisd.net,798,7446,4.0
www.joshuaisd.org,798,52433,51.0
www.royal-isd.net,798,4729,2.0
www.athlosutah.org,798,3190,1.0
www.itascaisd.org,798,6698,2.0
www.wynnewood.k12.ok.us,798,2754,1.0
www.ecisd.us,798,63951,35.0
www.bsd.k12.pa.us,798,24595,13.0
www.princetonisd.net,798,34441,26.0
www.danvillepublicschools.org,798,24277,17.0
www.banderaisd.net,798,24820,17.0
www.wcisd.net,798,22412,22.0
www.sunrayisd.org,798,22320,18.0
www.hsisd.net,798,30841,22.0
www.birdvilleschools.net,798,34066,16.0
www.pflugervilleisd.net,798,24739,14.0
www.capitolencoreacademy.org,797,14597,12.0
www.kentoncounty.org,796,922592,288.0
www.gothenburgswedes.org,796,28520,22.0
stark100.com,796,25130,22.0
jeffdavis.org,796,4988,1.0
www.icoe.org,796,27790,16.0
www.ontarioschools.org,796,19857,9.0
www.hps.holyoke.ma.us,796,19120,13.0
www.wdc2155.k12.mn.us,796,41915,36.0
nwschools.org,796,43060,29.0
www.elmwoodvillageschool.org,796,5162,3.0
www.tanq.org,796,12544,9.5
www.pcsb.org,796,35058,7.0
bobcat.k12.ar.us,796,30924,20.0
www.flextech-hs.org,796,10087,10.0
www.abcusd.k12.ca.us,796,8384,6.0
www.nppsd.org,796,6545,2.0
www.huronacademy.org,796,8180,6.0
www.mersd.org,796,2810,2.0
www.bbschools.org,796,31362,28.0
eurekaspringsschools.k12.ar.us,796,24158,22.0
www.lockportschools.org,794,18850,13.0
www.vmbulldogs.com,790,20165,12.0
www.usd240.org,786,8755,4.0
www.efisd.net,782,19448,19.0
www.colemanschools.net,776,11969,9.0
bogalusaschools.org,775,8347,5.0
www.btownccs.k12.in.us,764,17454,13.0
www.newkirk.k12.ok.us,754,17275,9.0
www.bobcat.net,747,20311,23.0
www.neoga.k12.il.us,745,5943,3.0
www.usd466.com,737,13809,9.0
www.atticacsd.org,731,10374,5.0
www.iechs.org,728,8774,7.0
www.buhsd.org,727,10468,6.0
www.twincedars.k12.ia.us,697,6936,5.0
chelsea.k12.mi.us,694,26197,28.0
www.westcentral.k12.sd.us,689,7561,5.0
www.heightsschools.com,675,16616,21.0
www.smithvilleisd.org,670,18960,12.0
www.richmond.k12.mi.us,663,24153,22.0
www.roxbury.org,660,9033,3.0
www.worcesterschools.org,656,41921,17.0
www.gustine.esc14.net,653,6277,6.0
www.roadrunnerpride.org,651,9557,5.0
www.usd456.org,647,7604,5.0
www.kaneland.org,643,8222,6.0
www.anchorbay.misd.net,641,40561,40.0
www.avondaleschools.org,640,37853,62.5
www.district7.net,637,21650,20.0
www.sedalia200.org,635,36830,36.0
www.miamitrace.k12.oh.us,633,28476,22.0
usd108.org,632,10031,5.0
www.lakeschools.org,628,20163,16.0
www.mcbain.org,628,6455,5.0
www.holderness.org,626,19763,21.0
www.warsaw.k12.in.us,624,13141,10.0
www.concrete.k12.wa.us,624,1902,1.0
www.bps14.org,623,11988,14.0
www.riverridge210.org,622,3532,4.0
www.bc.k12.mi.us,619,34672,55.0
www.bay.k12.fl.us,619,35786,23.0
www.postisd.net,618,13118,12.5
www.new-hampton.k12.ia.us,618,9247,9.0
www.gtschools.k12.ia.us,617,12281,11.0
www.rcentral.org,617,15520,11.0
gibbonpublic.org,616,5571,2.0
www.usevs.org,616,10204,9.0
cherokee.k12.ok.us,616,4750,4.0
www.usd271.com,615,10441,6.0
gcsdistrict.blogspot.com,614,20728,8.0
www.centervilleschools.org,613,4549,3.0
www.beltonschools.org,610,39809,34.0
www.neshobacentral.com,610,42551,49.0
www.lcsmi.org,609,6701,5.0
www.statestreetacademy.org,608,5184,6.0
www.new-waverly.k12.tx.us,608,12586,7.0
www.dlgsd.org,607,5142,5.0
www.readingschools.org,607,17743,13.0
www.dixonr1.com,607,7535,7.0
www.newton.k12.in.us,607,8388,8.0
www.richlandbears.us,606,16488,15.0
www.scentral.k12.in.us,606,30254,32.0
www.cityscapeschools.org,604,6388,6.0
www.cps18.org,603,5752,4.0
www.alcester-hudson.k12.sd.us,603,10555,8.0
www.gufsd.org,602,3852,3.0
www.jhcobras.net,601,5827,3.0
www.deubrook.com,601,13876,11.0
perry-lake.org,600,11383,7.0
hn.k12.oh.us,600,127263,26.5
lfapa.com,600,4003,5.0
www.westernlocalschools.com,600,9638,10.0
www.crestviewknights.com,600,13389,9.0
www.bessemer.k12.mi.us,600,17636,11.5
www.corningareaschools.com,599,28069,29.0
www.nwlsd.org,599,22585,17.0
www.schroonschool.org,599,14230,15.0
www.besd53.org,599,12862,12.0
www.hoosickfallscsd.org,599,11480,7.0
www.dkschools.org,598,25098,28.0
www.caneyvalleyschool.org,598,9464,8.0
www.westerville.k12.oh.us,598,13164,5.0
www.readingsd.org,598,52798,45.5
www.tri-valley.k12.sd.us,598,16251,18.0
www.garwin.k12.ia.us,597,11391,10.0
www.mtech.edu,597,22170,20.0
jessamineco.com,597,17073,9.0
www.merchantvilleschool.org,597,8555,7.0
www.epsb.com,597,44595,39.0
langtreecharter.org,596,8917,8.0
www.castaicusd.com,596,4634,4.0
www.hanoverhorton.org,596,21248,18.0
www.ips.k12.ny.us,596,14860,14.0
www.huskers.k12.mo.us,596,14483,9.0
www.middleriver.k12.mn.us,596,23764,30.5
www.east-cleveland.k12.oh.us,596,218893,162.0
www.marcelineschools.org,596,13197,9.0
cabarruscharter.org,596,8068,8.0
www.ogdenschools.org,595,10631,10.0
www.badaxeps.org,592,30921,31.5
www.riverdaleschools.org,590,17903,13.0
www.battlecreekschools.net,590,6796,8.0
www.schoolsofwestfield.org,588,23645,24.0
www.valleysd.org,585,865,0.0
www.whsd1.org,582,4009,4.0
capacschools.us,580,11735,12.0
www.lghs.k12.ca.us,579,3072,2.0
www.dearbornschools.org,574,29025,26.0
henrycountyr1.k12.mo.us,573,8475,9.0
www.carman.k12.mi.us,571,6174,4.0
www.nobleps.com,570,2595,2.0
www.dryden.k12.mi.us,568,9411,11.0
www.yisd.org,566,9671,9.0
www.switzsc.org,559,21899,9.0
www.solanocoe.net,557,7453,4.0
www.pothisd.us,552,3333,4.0
www.weldonvalley.org,546,3110,3.0
www.mpsi20.org,546,20324,20.0
www.creative-montessori.com,543,9239,11.0
www.burroakcs.org,540,8743,10.0
www.bloomfield.org,540,11871,12.0
www.byers32j.k12.co.us,533,3504,3.0
www.clps.k12.mi.us,532,9030,10.0
www.bigbayschool.com,530,10598,14.0
www.winchester.k12.ma.us,530,12265,11.0
www.vikingnet.org,530,27747,57.0
www.ftsd.org,524,13440,15.0
www.usd268.org,523,15554,20.0
www.sebrsd.org,523,9811,9.0
www.sonoranschools.org,521,3227,3.0
www.winonaisd.org,516,8040,9.0
www.stoughtonschools.org,511,10997,8.0
salemk12.org,510,16449,19.0
www.tuscumbialions.k12.mo.us,508,2631,2.0
wv.kyschools.us,507,3717,3.0
www.2cj.com,507,2400,2.0
www.stgrsd.org,500,18137,23.0
www.springfieldpublicschools.com,499,44655,64.0
www.goldendoorschool.org,498,19220,3.0
www.bangorvikings.org,498,7917,8.0
www.bentonhighschool.org,497,4435,4.0
www.coyle.k12.ok.us,497,4234,3.0
www.cnps.us,496,15673,22.0
www.espiritu.org,496,5015,6.0
www.csd.k12.sd.us,494,4020,3.0
www.cassopolis.k12.mi.us,494,10949,12.0
www.west-branch.k12.ia.us,493,8856,4.0
www.birmingham.k12.mi.us,491,19785,31.0
www.noconaisd.net,491,4550,3.0
www.canifflibertyacademy.com,491,4081,5.0
www.hardinisd.net,490,9455,8.0
www.siouxcentral.org,490,12966,11.0
www.ssvotech.org,484,26102,18.0
www.astoria.k12.or.us,483,21844,28.0
www.ejps.org,482,21006,25.0
dansville.org,482,14195,15.0
www.baragaschools.org,481,9944,10.0
windsor.k12.il.us,478,7234,4.0
www.crookedoak.org,475,6405,9.0
www.benzieschools.net,474,30340,39.0
www.waskomisd.net,472,3617,5.0
burke.cnsuschools.org,472,2200,0.0
www.conneautsd.org,469,10458,8.0
www.grovetonisd.net,468,8779,8.0
www.somerville.k12.ma.us,468,5616,6.0
www.kenmare.k12.nd.us,466,7311,6.0
www.clarksvilleisd.net,463,6998,8.0
www.mcalester.k12.ok.us,462,19025,26.0
www.isd500.k12.mn.us,459,4003,2.0
www.oesj.org,458,8805,9.0
www.epj.k12.sd.us,458,4288,3.0
lathropschools.com,456,6566,3.5
www.wusd2.org,455,3845,6.0
www.polk-schools.com,455,5583,8.0
www.lumberton.k12.tx.us,452,13573,11.0
www.glenbrook225.org,450,21513,31.0
www.npsok.org,450,6527,5.0
www.miami.k12.ok.us,450,13709,20.5
www.ssdcougars.org,449,12476,18.0
www.wagonerps.org,448,8613,11.0
www.eustaceisd.net,448,7694,7.0
bridgeeast.geeacademies.net,448,3115,6.0
www.owencountyky.us,448,5693,6.0
www.mberg.k12.ky.us,444,15174,13.5
www.wscuhsd.k12.ca.us,444,4042,5.0
www.bremondisd.net,443,9144,13.0
www.flourbluffschools.net,441,38449,61.0
www.normangeeisd.org,439,8121,10.0
www.jeffersonisd.org,439,9689,12.0
www.bssd.org,438,5406,6.0
www.milanssd.org,437,4322,3.0
www.comstockps.org,437,3189,3.0
www.rrisd.net,437,5624,8.0
division.wmlcps.org,437,6648,9.0
www.covingtonisd.org,436,7129,9.0
www.clarendon2.k12.sc.us,436,7056,8.0
