month,n_posts,total_engagement,avg_engagement,median_engagement,viral_posts
2018-06-01,4329,90749,20.963039963039964,7.0,29
2018-07-01,3627,59835,16.49710504549214,6.0,13
2018-08-01,7377,139407,18.897519316795446,7.0,32
2018-09-01,8974,170740,19.026075328727433,7.0,42
2018-10-01,11570,234806,20.29438202247191,7.0,39
2018-11-01,11255,227465,20.210128831630385,8.0,37
2018-12-01,9095,205794,22.62715777899945,9.0,43
2019-01-01,13587,283610,20.873629204386546,8.0,62
2019-02-01,18048,408814,22.651484929078013,9.0,79
2019-03-01,17918,462298,25.800759013282732,10.0,102
2019-04-01,19516,495303,25.379329780692764,10.0,115
2019-05-01,26539,834606,31.448283658012738,14.0,213
2019-06-01,14948,506108,33.857907412362856,14.0,176
2019-07-01,12896,337514,26.171991315136477,10.0,106
2019-08-01,26010,842902,32.406843521722415,14.0,264
2019-09-01,37000,1060045,28.649864864864863,13.0,240
2019-10-01,59114,1629249,27.561136109889365,13.0,284
2019-11-01,63161,1990159,31.50930162600339,15.0,431
2019-12-01,67414,1892672,28.075355267451865,14.0,331
2020-01-01,95751,2591303,27.062934068573696,11.0,444
2020-02-01,141019,4243053,30.088519986668462,13.0,767
2020-03-01,209637,8248318,39.34571664353144,14.0,2545
2020-04-01,207784,9012186,43.37285835290494,17.0,2438
2020-05-01,225150,10615089,47.14674217188541,20.0,2854
2020-06-01,126317,5346800,42.328427685901346,16.0,2184
2020-07-01,97872,4376476,44.716323361124736,14.0,2121
2020-08-01,143039,5144302,35.96433140612001,13.0,1964
2020-09-01,99127,2523196,25.45417494728984,6.0,771
